,Artist,Url_spotify,Track,Album,Tempo,Url_youtube,Youtube Views,Likes,Spotify Streams
24,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Many Men (Wish Death),Get Rich Or Die Tryin',108.52,https://www.youtube.com/watch?v=5D3crqpClPY,441155628,2765887,332175400
25,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Disco Inferno,The Massacre,97.018,https://www.youtube.com/watch?v=GNqYWkiBHHw,39825951,382791,202477187
26,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,21 Questions,Get Rich Or Die Tryin',90.012,https://www.youtube.com/watch?v=cDMhlvbOFaM,503248572,2759199,446003044
27,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Is This Love ('09) (feat. 50 Cent),Curtain Call 2,94.028,https://www.youtube.com/watch?v=Zl64MRAqQxk,5289821,245935,28529840
28,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,If I Can't,Get Rich Or Die Tryin',93.975,https://www.youtube.com/watch?v=_vUC0-V2k1E,46096,612,210473579
29,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Best Friend - Remix,Best Friend (Remix),181.733,https://www.youtube.com/watch?v=UQNLDwQYDDg,291023,5729,160037992
30,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Enter Sandman (Remastered),Metallica (Remastered),123.296,https://www.youtube.com/watch?v=CD-E-LDc384,573553706,2828795,
31,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Nothing Else Matters (Remastered),Metallica (Remastered),142.37,https://www.youtube.com/watch?v=tAGnKpE4NCI,1209806093,5127599,
32,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Master of Puppets (Remastered),Master of Puppets (Remastered Deluxe Box Set),105.25,https://www.youtube.com/watch?v=E0ozmU9cJDg,20762910,293409,
33,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Whiskey In The Jar,"Garage, Inc.",132.97,https://www.youtube.com/watch?v=wsrvmNtWU4E,107553434,429797,327681785
34,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,The Unforgiven (Remastered),Metallica (Remastered),139.503,https://www.youtube.com/watch?v=Ckom3gf57Yw,426125708,1781690,
35,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,One (Remastered),...And Justice for All (Remastered Deluxe Box Set),103.01,https://www.youtube.com/watch?v=oTS5cPTqFWM,524,18,
36,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,For Whom The Bell Tolls (Remastered),Ride The Lightning (Deluxe Remaster),117.909,https://www.youtube.com/watch?v=B_HSa1dEL9s,23666398,274106,
37,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Lux ̠terna,Lux ̠terna,130.573,https://www.youtube.com/watch?v=_u-7rWKnVVo,14937918,473751,20061385
38,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Sad But True (Remastered),Metallica (Remastered),89.24,https://www.youtube.com/watch?v=A8MO7fkZc5o,72737062,418124,
39,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Screaming Suicide,Screaming Suicide,101.125,https://www.youtube.com/watch?v=ZDyDpdFZHBo,4317758,217109,3905429
40,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Yellow,Parachutes,173.372,https://www.youtube.com/watch?v=yKNxeF4KMsY,832532409,4600933,1483622308
41,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida,Viva La Vida or Death and All His Friends,138.015,https://www.youtube.com/watch?v=dvgZkm1xWPE,789581468,4370461,1325575712
42,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Sparks,Parachutes,102.617,https://www.youtube.com/watch?v=1aokooixKIo,73201019,787343,475353044
